"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-c43bffde454c47e28b80f2de70288efa","AccessRelationship","","","id-736306","id-736075",""
"id-3e63b3ec3e3e46b7b5dfffa407137a23","AccessRelationship","","","id-736522","id-736154",""
"id-d7fe61c0ed854c0e90a3b7c6514ebad2","AccessRelationship","","","id-718735","id-469567",""
"id-3f950bdbf2d34ba99d1c4476fd8115d8","AccessRelationship","","","id-718723","id-468968",""
"id-fff5efd563884e629dc50f9065cef852","AccessRelationship","","","id-711323","id-729570",""
"id-5f4b9bd4d47b48fb92f44c7a37ba17d8","AccessRelationship","","","id-718383","id-729676",""
"id-9081dde26c44433ca424b1d9f2b9d346","AccessRelationship","","","id-718169","id-729609",""
"id-0645939c5fb945b18835fc6d4516b190","AccessRelationship","","","id-718758","id-722911",""
"id-28db0d93baca42cabc9c561b615832b5","AccessRelationship","","","id-736308","id-736178",""
"id-61c75cc2d6d44f64bb8b45d6dc7ed860","AccessRelationship","","","id-736543","id-736094",""
"id-53c6aad937774e5fb1bea9ab2351eb7f","AccessRelationship","","","id-736423","id-736027",""
"id-77018bbff10949da88f17270d39f034e","AccessRelationship","","","id-736439","id-736025",""
"id-481e73b4db4c4eada1d0928a8d96af42","AccessRelationship","","","id-736310","id-736138",""
"id-65d78ca4a09e44469608fb773e6f1920","AccessRelationship","","","id-718810","id-722954",""
"id-28092834460f4176a486c53f9a84e3bf","AccessRelationship","","","id-718822","id-736132",""
"id-42d8c43daf17480688f5fe86cb0046b9","AccessRelationship","","","id-711316","id-729618",""
"id-8e630199f8f64d51b105e65da1cad48b","AccessRelationship","","","id-711339","id-729580",""
"id-2454a742dbeb4dd5ad8bb38a115e4602","AccessRelationship","","","id-718696","id-729583",""
"id-579a4d6284814452aace658c68f85adf","AccessRelationship","","","id-718715","id-468996",""
"id-51fef7a2fe654fc292702f575cf27597","AccessRelationship","","","id-736559","id-736055",""
"id-4aa84cd953b14d5da886dfa4677e7136","AccessRelationship","","","id-718342","id-729651",""
"id-5ab47226658b4fd598f70d17127745ce","AccessRelationship","","","id-718756","id-729576",""
"id-0e73941723dc470b9e3c1d51aa1e4653","AccessRelationship","","","id-718755","id-471288",""
"id-c9871147ec3e4f858628534040720c14","AccessRelationship","","","id-736479","id-470221",""
"id-5fe5ceb3dad2407a9bbac7f311273a9e","AccessRelationship","","","id-718816","id-736116",""
"id-32cbdacc6eda46d485cf296ad9183ac0","AccessRelationship","","","id-718341","id-729661",""
"id-8016a961d3f04b3e9b88e843f736f836","AccessRelationship","","","id-736554","id-736086",""
"id-38fd35f642a14dda800d28a589827260","AccessRelationship","","","id-736490","id-475943",""
"id-6f2d9481178544c0b094527ac8f196f8","AccessRelationship","","","id-718740","id-469165",""
"id-a29ecd8d2789440faa27f333beae8a79","AccessRelationship","","","id-718744","id-469299",""
